Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,T_out_MAPE,T_out_MAE,T_out_MSE,Press_mm_hg_MAPE,Press_mm_hg_MAE,Press_mm_hg_MSE,RH_out_MAPE,RH_out_MAE,RH_out_MSE,Windspeed_MAPE,Windspeed_MAE,Windspeed_MSE,Visibility_MAPE,Visibility_MAE,Visibility_MSE,Tdewpoint_MAPE,Tdewpoint_MAE,Tdewpoint_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,15788,3947,N/A,N/A,N/A,60.37088203430176,60.37088203430176,0.4080245283488452,0.29850196509014226,0.11994812139202655,0.008228361497296928,0.0080399708590392,9.563828887895207e-05,0.2658389700531036,0.1397618484693304,0.030770675563891098,302932374284.2359,0.11275569243791186,0.016904574571665307,0.2136913810274298,0.0729812868647819,0.012412998643388119,1312268313171.279,0.34044869098737807,0.16256155473764466,269200114576.0629,0.162081575784764,0.05711559386624911
Fixed Cut 5.0%,14999,3947,789,4.997466430200152,N/A,38.88799595832825,38.88799595832825,0.4230700446516905,0.3112186797872915,0.13150405787643335,0.006477337121702076,0.006352263058434983,6.279133244162e-05,0.2575493117743387,0.135604836125036,0.028989350078865782,303272957727.46564,0.11392361327136714,0.017153903234802956,0.2187777211828524,0.08833840981933885,0.012939328134940212,1205727424702.0173,0.3639243337187867,0.185440761667662,251500063738.40625,0.169893689296709,0.06268169872085769
Fixed Cut 10.0%,14210,3947,1578,9.994932860400304,N/A,60.99259686470032,60.99259686470032,0.41620464316939787,0.3046693419021696,0.12309166314216777,0.010170247587903592,0.009930895460800952,0.00015009141085927733,0.2437792116234734,0.1279735390871953,0.025773203290506638,265478920690.48837,0.09465311321233788,0.012279874493421097,0.21650017342574268,0.07396708811837424,0.012242720260470042,1215306559611.5156,0.3606605968782631,0.18348536969934773,246797580050.484,0.16197576244319015,0.059503820382795426
Fixed Cut 15.0%,13420,3947,2368,14.998733215100076,N/A,49.21292018890381,49.21292018890381,0.4054266469379429,0.29511307172414447,0.11835382863809715,0.011180558095711961,0.010973126666470795,0.00016130498739708033,0.2619451377690196,0.13654980799328537,0.029901807555581146,288354599378.3375,0.10087461945888342,0.014046770227953068,0.20504291983559583,0.07229281367915646,0.011136320570440561,1246360292664.104,0.33682700363845147,0.15912916429803564,255785815340.54703,0.15877174052673193,0.05545486604625077
Fixed Cut 20.0%,12631,3947,3157,19.996199645300226,N/A,58.54574179649353,58.54574179649353,0.38580696051710434,0.2809633471481065,0.10981859238797388,0.00820594092968039,0.008058022385728269,9.348385015617624e-05,0.2356519978400282,0.126257809902556,0.02408098382330185,269936876384.2419,0.09412601589656047,0.012238459528595654,0.21741520308699744,0.07302210517233515,0.012394172603748846,1201834123194.2432,0.35724628772364225,0.17937067610121935,245295166596.55823,0.15661226470482134,0.05633272804916606
Fixed Cut 25.0%,11841,3947,3947,25.0,N/A,71.12845087051392,71.12845087051392,0.4320801789647232,0.316564850020885,0.13298122661537792,0.006382701174277758,0.00625338596383025,5.9732195698609556e-05,0.2501144350273695,0.1307841452846328,0.02725336719826625,249676434552.71243,0.08584420006601864,0.010467828623999625,0.2093216281550573,0.07131176816455143,0.011855767214209396,996438422167.7291,0.3537821590312248,0.1770263840328391,207685809453.55518,0.1607567514218573,0.05994071764673189
Fixed Cut 30.0%,11052,3947,4736,29.997466430200152,N/A,101.1369469165802,101.1369469165802,0.3874453214145447,0.28280140358811034,0.1090366232440359,0.006511157029205281,0.00637928820324707,5.356544942949394e-05,0.22912376891976555,0.12275764137499753,0.022799176666138083,263983288488.99356,0.09034747565322951,0.01159697355672707,0.20395297337035248,0.0689882497418776,0.011364533398320909,1152520241892.699,0.3638768487101571,0.18717168743036286,236083921730.42603,0.15585848454527004,0.057003759957502516
Fixed Cut 35.0%,10263,3947,5525,34.994932860400304,N/A,39.95907139778137,39.95907139778137,0.3773233085934508,0.27393839301391476,0.10612900644908302,0.005084776510354532,0.004993156875078584,3.620250755489629e-05,0.23751080251411716,0.1263132236192071,0.024473412179910066,262978443055.8528,0.09385247646454825,0.012371068572522886,0.20381437003421263,0.07712671305467715,0.011057922154894621,1264698530298.9453,0.350743382771222,0.1724290228624034,254612828892.60263,0.15449455763310793,0.054416105787728174
Fixed Cut 40.0%,9473,3947,6315,39.998733215100074,N/A,76.91298413276672,76.91298413276672,0.3830151320871827,0.2803726133997744,0.10715915036639205,0.011923387082510244,0.011659688881701363,0.00022454747008547854,0.2193371804705962,0.12022195770640187,0.020984864951268896,244759748404.9619,0.08643654679999656,0.010676305208780601,0.20709810848938412,0.07250070122910306,0.011313920994328945,1001236093077.417,0.3796671254742042,0.2038906912902102,207665973580.5275,0.15847643891519717,0.05904158004684431
Fixed Cut 45.0%,8684,3947,7104,44.99619964530023,N/A,37.463422775268555,37.463422775268555,0.3798607025898566,0.27511029304966317,0.10533305962759523,0.010634453924866246,0.010402975093318764,0.00016800557679512107,0.22734558029606763,0.1222630346269452,0.022607652605877156,236765060243.61154,0.08419120488136607,0.01036171289399279,0.20524711821643377,0.071763527462908,0.011439241221764809,1246235642460.6104,0.3480413786134774,0.17081496871178192,247166783784.17334,0.1519620689546132,0.05345410677296788
