Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,CO(GT)_MAPE,CO(GT)_MAE,CO(GT)_MSE,NMHC(GT)_MAPE,NMHC(GT)_MAE,NMHC(GT)_MSE,C6H6(GT)_MAPE,C6H6(GT)_MAE,C6H6(GT)_MSE,NOx(GT)_MAPE,NOx(GT)_MAE,NOx(GT)_MSE,NO2(GT)_MAPE,NO2(GT)_MAE,NO2(GT)_MSE,T_MAPE,T_MAE,T_MSE,RH_MAPE,RH_MAE,RH_MSE,AH_MAPE,AH_MAE,AH_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,7485,1872,N/A,N/A,N/A,39.32213807106018,39.32213807106018,30.100199093937725,0.18858333177020017,0.050429490324451605,0.25501353925698245,0.042895464971738,0.0018674821466389744,1.3065584185353745,0.053844292272100025,0.027096717444164746,0.5498089068279175,0.12734704249755038,0.029672216381896866,0.6212080132261436,0.3317497444841517,0.14106536474586207,205621001557.30426,0.08350916323172823,0.03345147600967648,0.28329978419845386,0.09675382382246508,0.04276415408077522,4.00095721616702,0.04429900050521787,0.02544225038320425,25702625199.302666,0.12112273294439371,0.04397364393958373
Fixed Cut 5.0%,7111,1872,374,4.996659986639947,N/A,34.798644065856934,34.798644065856934,33.13698357103847,0.20363628375440757,0.0548583379856246,0.20297813595949246,0.03414266374423758,0.0011986810419180977,0.923635842539993,0.054678678813564724,0.029124216916641566,0.5092606879090031,0.12102650974701014,0.02882802582688375,0.6654536397133335,0.3513206944447748,0.15505842457163538,182749221206.29214,0.06828282922247458,0.030954452022352662,0.2924607945986077,0.1027305811540371,0.04108052742765202,6.6918894763808785,0.050534203333567354,0.02391945549200414,22843652656.089325,0.12329405552675923,0.04562776516058904
Fixed Cut 10.0%,6737,1872,748,9.993319973279894,N/A,29.056361198425293,29.056361198425293,39.145507847129515,0.236140483531236,0.06566354631077137,0.03325280729159913,0.0055934074502269355,4.632991794667297e-05,0.6865079159291727,0.05584975166118856,0.02944117855776441,0.4922344238963168,0.1154353135713682,0.026528251236473694,0.6072530481157118,0.32577548698950215,0.13776297445797134,156977636256.56085,0.0653469245735506,0.030363010309295058,0.29267644032529583,0.10475922796614368,0.042692538617310004,11.726876717800632,0.06387877833150372,0.024868650616124574,19622204538.69313,0.12159742175933987,0.04467081000295717
Fixed Cut 15.0%,6363,1872,1122,14.989979959919838,N/A,15.790518999099731,15.790518999099731,25.960222882885386,0.16491425812538443,0.04555113318993289,0.03986662060569665,0.007062288858405075,7.974718266567936e-05,0.6900524324623378,0.056833050909542535,0.030732060426012953,0.47794325871002113,0.11481341145700939,0.027033977431908364,0.6556749260929393,0.34708094180550225,0.15291171678985074,141908691682.43948,0.0634282861516399,0.03303571980170086,0.3138905614564823,0.10818826541680113,0.0464794030009469,6.144697036092901,0.0527464121497455,0.02931895758996188,17738586464.59022,0.11438336435925368,0.04564283942662254
Fixed Cut 20.0%,5988,1872,1497,20.0,N/A,14.882903099060059,14.882903099060059,37.58921179013708,0.22899778131879367,0.06404451558538332,0.005701078806102436,0.005701078806102436,7.952421218007962e-05,1.1540132094968771,0.0561705075396809,0.02944478528477421,0.5134984417451034,0.10943429081847444,0.02578812815445057,0.6431579328033955,0.34463523353134007,0.15223322046731738,201583656733.92657,0.08001745607915257,0.03431850348895794,0.3174003123767621,0.11006133378876758,0.04212141477928029,10.547998160686468,0.06277321791710552,0.028887656464034916,25197957098.087173,0.12472386247492705,0.047114718554547304
Fixed Cut 25.0%,5614,1872,1871,24.996659986639948,N/A,38.94160795211792,38.94160795211792,38.11877997581155,0.23141927434810045,0.06395328286685205,0.004852803942345422,0.004852803942345422,5.4970515789586644e-05,0.7725616044769461,0.06014504650261942,0.02681080198596742,0.49250466748124205,0.11566310286171495,0.026511108196662705,0.6658120674091595,0.35325825786951004,0.15643437590116094,153440801215.5394,0.06322265972771529,0.028399615233113386,0.31736185574200587,0.11472890745200036,0.04320072683508695,15.067451767005794,0.07167214470321014,0.024977699310310266,19180100158.872284,0.12687027467590192,0.0462928226056179
Fixed Cut 30.0%,5240,1872,2245,29.993319973279892,N/A,24.583932161331177,24.583932161331177,30.053477516657026,0.18924937614701068,0.05111894789819353,0.012607310700352646,0.012607310700352646,0.0002651151448353988,0.7495115779521647,0.06055704363141079,0.026905922843653764,0.48571074514720286,0.11579852018254541,0.027063462698183046,0.6961028768731009,0.36364775482129047,0.16293112858171102,150813273290.03925,0.06073352164148425,0.02601877728182626,0.29913605208939487,0.10351163328700667,0.04078705652601596,15.296178747687607,0.07212193839713676,0.02469937625657288,18851659167.204,0.12227838735102955,0.04497372340387398
Fixed Cut 35.0%,4866,1872,2619,34.98997995991984,N/A,18.373912811279297,18.373912811279297,36.183273151959675,0.22206284099120557,0.06178551886619199,0.0170134825936591,0.0170134825936591,0.0003356565634621344,1.4534382997726951,0.057138967689704,0.02733573401391069,0.5184153101524236,0.10556099498425765,0.023740753143243948,0.6831799793700519,0.36166247460738127,0.1627315949550398,242723045598.57187,0.08962090666290902,0.030766238193842933,0.30846303676333003,0.10399348176788069,0.043893518400836426,1.849100542554857,0.03830298639574914,0.024788616897116644,30340380704.94812,0.12441951696159322,0.0469222038792056
Fixed Cut 40.0%,4492,1872,2993,39.98663994655979,N/A,12.028119087219238,12.028119087219238,30.718214610768527,0.19147938672217862,0.051635997147605216,0.006919860680045775,0.006919860680045775,6.362990737750512e-05,1.5207962340142585,0.05962688282868418,0.030234305510147084,0.4712258260272503,0.09912421021336613,0.022473880330024152,0.6926172553601796,0.36187274954904913,0.16238898508582642,209500181762.77814,0.08090067872697485,0.03422158862230709,0.31858198012478184,0.10524881997362538,0.0467663391023399,8.904412563958738,0.05796715733684136,0.02770842980812927,26187522725.676273,0.12039246825384553,0.04693664443921955
Fixed Cut 45.0%,4117,1872,3368,44.99665998663995,N/A,22.19247794151306,22.19247794151306,41.47111753216844,0.24854362832851132,0.07182650588826898,0.009153347616221247,0.009153347616221247,0.0003873638013149441,1.3520162582855706,0.056923958417293856,0.030326122023174723,0.4830401175067303,0.10300458138817978,0.02294322285653545,0.7089169777531299,0.368452997888958,0.165917117600573,207279328155.83167,0.08030163805361729,0.030732516321983726,0.28824020825241226,0.09456835859194197,0.04190475183225692,3.101107667092892,0.04084997066428226,0.02471452397978025,25909916025.405693,0.12522481011862557,0.048594015537986014
