Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,T_out_MAPE,T_out_MAE,T_out_MSE,Press_mm_hg_MAPE,Press_mm_hg_MAE,Press_mm_hg_MSE,RH_out_MAPE,RH_out_MAE,RH_out_MSE,Windspeed_MAPE,Windspeed_MAE,Windspeed_MSE,Visibility_MAPE,Visibility_MAE,Visibility_MSE,Tdewpoint_MAPE,Tdewpoint_MAE,Tdewpoint_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,15788,3947,N/A,N/A,N/A,109.71180081367493,109.71180081367493,0.4286585031741124,0.3152174002116475,0.131424394150672,0.0071552944666321274,0.006981118241970213,7.474064125853448e-05,0.23828203703530773,0.12766759566305444,0.02470115913311502,297727436668.97296,0.11295593785011233,0.016837743041891104,0.20980826498171257,0.07865940064710848,0.011475781196949983,1082789433554.7585,0.3798800150814475,0.20453734056244918,230086145037.42984,0.17022691128255665,0.06484185978772256
Fixed Cut 5.0%,14999,3947,789,4.997466430200152,N/A,71.0828709602356,71.0828709602356,0.44449941221188227,0.32795153503765134,0.14179608453798798,0.00673554969047069,0.006569469240403877,7.468803750911131e-05,0.27280637468923347,0.14072194987357056,0.03265494792035096,262868620812.98102,0.09410690682843395,0.012111070563419719,0.22843045855638847,0.07798089558456749,0.013445203365738297,1274262564862.847,0.35381520609360523,0.17650570817906705,256188530946.12985,0.16685766044303887,0.06276461710067884
Fixed Cut 10.0%,14210,3947,1578,9.994932860400304,N/A,33.72317123413086,33.72317123413086,0.4035598605820789,0.2954135872821941,0.12082268282537983,0.00493417501445047,0.0048295194667944755,3.681243002506188e-05,0.2760159950966498,0.14380910425507998,0.03324413866511233,297746741958.5606,0.10624647289189348,0.015124234942168704,0.20852598792161325,0.08125129369457569,0.011389189343480516,1329351264353.5894,0.35588241215555416,0.17738176404317155,271183001052.1748,0.16457206495768173,0.05966647037488961
Fixed Cut 15.0%,13420,3947,2368,14.998733215100076,N/A,93.79480600357056,93.79480600357056,0.3692434692419509,0.26864178547522566,0.09926050945044294,0.006539028130153549,0.00641620486313251,6.208393073064183e-05,0.22906186451360255,0.12224278885017931,0.02269900697042268,270546303861.0128,0.09272112895293254,0.011970911806204286,0.20968012649322432,0.07263200688728225,0.011528444660485625,1308090743827.118,0.34355718714383326,0.16509622731416174,263106174614.82043,0.15103518369543087,0.05176953068874129
Fixed Cut 20.0%,12631,3947,3157,19.996199645300226,N/A,55.381572008132935,55.381572008132935,0.4104500085738664,0.3018339394956632,0.12222264112129617,0.007223294781061956,0.007076463106601851,7.056128052226968e-05,0.2576967353239451,0.13498633107708882,0.028868194238665303,264863024069.03064,0.0948757500382109,0.012255192600553444,0.21009951691286027,0.07244032450592951,0.012020574440625353,1151498389418.6206,0.3500289653230012,0.1730463750419904,236060235581.4213,0.16020696225774922,0.05808058978727546
Fixed Cut 25.0%,11841,3947,3947,25.0,N/A,111.05965495109558,111.05965495109558,0.3992332855194697,0.29251495159717916,0.11421121074980749,0.012561332304334519,0.01233922431804392,0.00019813858770401026,0.23252976564833047,0.12315644007486826,0.023352568585258027,253062895599.07724,0.09071479330852288,0.011349670854047278,0.21228933474327882,0.07205916601314276,0.011913385409618041,1017069052291.3606,0.3704133408008312,0.1931634510125144,211688657981.87805,0.16019965268543146,0.05903140419982489
Fixed Cut 30.0%,11052,3947,4736,29.997466430200152,N/A,39.91229605674744,39.91229605674744,0.39464938324473553,0.2884758857389464,0.11456815122407256,0.006564320462448311,0.006434270313101236,7.591824632667347e-05,0.25250687668468513,0.13179511998610902,0.027777529336653884,254023972161.18146,0.08613648579372399,0.010600354627802141,0.22231168852369348,0.07466869950974811,0.013346537603986094,1301105429500.243,0.32893799923142336,0.1512926282212206,259188233610.3732,0.15274141009550912,0.05294351987667709
Fixed Cut 35.0%,10263,3947,5525,34.994932860400304,N/A,67.78029990196228,67.78029990196228,0.3692066372995851,0.2666340638848002,0.10105969876914704,0.008738118587279995,0.008574394271435385,0.00010857635156262554,0.2183552748957807,0.12049024061063247,0.020899477190686352,272703355033.4738,0.09651595215478813,0.012918523756938582,0.21666183480090845,0.07758866566547688,0.011939471386116798,1205575978620.281,0.3438797277269425,0.1662587944163504,246379888942.42435,0.15228050738567925,0.05219742364513369
Fixed Cut 40.0%,9473,3947,6315,39.998733215100074,N/A,48.05233192443848,48.05233192443848,0.3923533123810551,0.28535695021926794,0.11260765715469705,0.004691227960148094,0.0046124546200141375,3.001709729685867e-05,0.2305754740382191,0.1269539074361938,0.023222063665621344,260794374692.24115,0.08913397704728465,0.011343213283196105,0.21121291672291376,0.07968031858671475,0.011386908402744785,1073953773609.3768,0.3688237452958811,0.19125274876134749,222458024717.07236,0.1590935588675595,0.05830710139415063
Fixed Cut 45.0%,8684,3947,7104,44.99619964530023,N/A,36.091758728027344,36.091758728027344,0.3930813919187181,0.2874471400025367,0.11551435941515778,0.004360606921485003,0.004280287503859053,3.0014559652233103e-05,0.24823176405768177,0.13371312460729454,0.02679260099581397,242965939706.08862,0.08420484534802287,0.01041525698913475,0.2143782486281986,0.07555746770808015,0.012022760512754586,1101601161507.784,0.3491232774183755,0.17218560203085523,224094516869.12222,0.15572102376469493,0.056160099083894854
Fixed Cut 50.0%,7895,3947,7893,49.99366607550038,N/A,38.184449195861816,38.184449195861816,0.3598515035570921,0.2584556784337809,0.09677825055256159,0.0058686631095907354,0.005748172587798467,5.6445853261350667e-05,0.2229171951346383,0.12285883122828409,0.021768538832205878,283420378443.67584,0.09740099044583304,0.013347614117295254,0.21604977258473307,0.07207638315492433,0.012584323142542733,1447825017927.1316,0.3390582120785374,0.16051404092342286,288540899395.2624,0.14926637798819334,0.05084153557021499
Fixed Cut 55.0%,7105,3947,8683,54.99746643020015,N/A,25.027078866958618,25.027078866958618,0.38143051655180554,0.2787945423508956,0.10730446523027101,0.015040071439278425,0.014777155001861872,0.00027225666013017027,0.2531012020979156,0.13203813680494533,0.027936654957988,253571455491.00708,0.09096404324748271,0.011662318665962129,0.21137003267601404,0.07534132322157415,0.011890636533622715,1592806483371.5903,0.329094621301387,0.15094102134109488,307729656477.23193,0.15350163698802458,0.05166789223151149
Fixed Cut 60.0%,6316,3947,9472,59.994932860400304,N/A,46.651073694229126,46.651073694229126,0.3324950386790642,0.2328873293470829,0.0809314716939783,0.008546472884547846,0.008392762844910577,0.00010727255171084755,0.23586333509092475,0.12732230809780992,0.024242611206092533,239532917842.1481,0.08344841327224829,0.010128738964227925,0.20965124963636436,0.08155053137463424,0.01156872891802003,1670927568067.9126,0.3157409599016574,0.13801810963923217,318410080985.12506,0.14155705080639053,0.04416615549554365
Fixed Cut 65.0%,5526,3947,10262,64.99873321510007,N/A,39.41887903213501,39.41887903213501,0.33137480091349203,0.22856506984947178,0.0782901948050293,0.005003301187935611,0.004928284029835739,3.8900281965254155e-05,0.23391202814496176,0.12559881496289363,0.023868789400929673,298193793903.8313,0.10211505008058572,0.014585203652654543,0.2099437699642578,0.07499738598528717,0.01137216444930273,1708071115583.3137,0.30536915474963966,0.12842382353958492,334377484914.6313,0.14026229327628564,0.04276317935491101
