Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,T_out_MAPE,T_out_MAE,T_out_MSE,Press_mm_hg_MAPE,Press_mm_hg_MAE,Press_mm_hg_MSE,RH_out_MAPE,RH_out_MAE,RH_out_MSE,Windspeed_MAPE,Windspeed_MAE,Windspeed_MSE,Visibility_MAPE,Visibility_MAE,Visibility_MSE,Tdewpoint_MAPE,Tdewpoint_MAE,Tdewpoint_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,15788,3947,N/A,N/A,N/A,75.25559306144714,75.25559306144714,0.4044344907858086,0.2945620057768826,0.11836638408708726,0.006423358609650052,0.006266926558080548,6.450898754490781e-05,0.2320155970986331,0.12468792186254987,0.02337023211930187,291849061092.70685,0.10716360498988857,0.015423940660743117,0.21302605927448412,0.07411488532383886,0.01164247270976987,1245286567864.1978,0.37131291674743216,0.1934759225549036,256189271492.9707,0.16301804354311197,0.06039057685322511
Fixed Cut 5.0%,14999,3947,789,4.997466430200152,N/A,50.60805416107178,50.60805416107178,0.4066848795011371,0.29819000165873566,0.12236700169548076,0.011380833024292773,0.01110324896022255,0.00022318789386645293,0.23968283187120867,0.13031688140649472,0.025129765280089703,285348643207.56995,0.10645486833381285,0.015072606355003343,0.21157233896137498,0.08951366653763602,0.01299405598669953,1152000360997.5142,0.3721183373783148,0.19537245086971886,239558167367.67276,0.167949500712536,0.061859844680143126
Fixed Cut 10.0%,14210,3947,1578,9.994932860400304,N/A,42.34289908409119,42.34289908409119,0.3894265744126071,0.2851430129002039,0.11481055361365719,0.0059277540386101,0.005800501768098828,5.338888810641013e-05,0.24933024026971903,0.13199047754141033,0.026997334231265845,282445852870.24066,0.09911543334185158,0.013584757639835611,0.21483982272913513,0.07270125086893975,0.012357844895343004,1543880852895.1,0.32969849857484407,0.15177192300258593,304387784294.3573,0.15407486249922467,0.05326263371179905
Fixed Cut 15.0%,13420,3947,2368,14.998733215100076,N/A,71.57965278625488,71.57965278625488,0.388899026036694,0.2839203865206167,0.11125923947135437,0.007481350142541221,0.007315368016837897,8.001247677506572e-05,0.2310918901057681,0.12512544367895218,0.023260180338589946,278407387160.6972,0.09643708904895228,0.012779578609616694,0.2383448156169901,0.08295390138425077,0.013702336896532549,1163554083151.467,0.3642764552917247,0.1871104955695565,240326911718.84592,0.16000477399022262,0.05803197389373751
Fixed Cut 20.0%,12631,3947,3157,19.996199645300226,N/A,80.40150880813599,80.40150880813599,0.3932142041227573,0.2866272580848683,0.11284947509977948,0.0075937544810214305,0.007452302811272606,7.593239135604736e-05,0.2510302258570539,0.13159715777316677,0.02743081736945535,285663673529.3092,0.10592705200052502,0.01488522330107395,0.20097911401549717,0.07091071516363463,0.010606284783816426,1263915048782.2065,0.3551387708040096,0.17676576194222562,258263120385.39584,0.15960887610624597,0.05710224914795101
Fixed Cut 25.0%,11841,3947,3947,25.0,N/A,46.9237220287323,46.9237220287323,0.37053614012567915,0.27018187505879493,0.10142569697637994,0.015227305776704062,0.01484772082525758,0.0003525048542218328,0.22046641208538623,0.12083791020589986,0.021239974459313058,267103578280.07074,0.0949912684145802,0.012266924183916181,0.2068548063299228,0.07402315283115053,0.011590520319886406,1129455664180.2898,0.3527639104141295,0.1745893426592601,232759873743.52832,0.15460763962496865,0.053577493908829564
Fixed Cut 30.0%,11052,3947,4736,29.997466430200152,N/A,42.43008089065552,42.43008089065552,0.40394738778973943,0.2966913437627001,0.11986835431004397,0.00997906032140537,0.009741358311710739,0.00014854499636583738,0.2600649292011994,0.13580511388609182,0.029563163802522604,250897587754.99,0.08859605877937303,0.011149667347614155,0.2083176604936345,0.08037808872340649,0.011396317108821297,1179929088593.1553,0.35970874388034707,0.18198357672157464,238471112724.84134,0.16182011789060494,0.05901827071449045
Fixed Cut 35.0%,10263,3947,5525,34.994932860400304,N/A,67.84745192527771,67.84745192527771,0.4259380741869629,0.3123918694639792,0.129348808322548,0.009150822372772678,0.008940804101967039,0.0001346831490276418,0.23511660208260116,0.12496597544606236,0.023949759770309585,241487689075.0697,0.0877188438626496,0.010854742663869517,0.2052948468128883,0.07594009258696184,0.010855721083436394,947832231245.8418,0.3914344180016524,0.21653500113554433,198219986720.2892,0.16689866724387883,0.0652797860207892
Fixed Cut 40.0%,9473,3947,6315,39.998733215100074,N/A,69.86468505859375,69.86468505859375,0.387033478372404,0.2820462051971692,0.1098539348546714,0.005977036424460756,0.005880422915884041,4.9372139409786464e-05,0.2204380703666431,0.12029944920583169,0.021172093028556573,266672307642.82266,0.09289633531874829,0.01213653327306498,0.20890591257868596,0.07190498450991072,0.011838084402776049,1151501215413.4106,0.3548465563549088,0.1767083622330465,236362253842.8453,0.1546456589170756,0.05529306332192089
Fixed Cut 45.0%,8684,3947,7104,44.99619964530023,N/A,50.47773480415344,50.47773480415344,0.3837542613338598,0.27857907144009014,0.10799610560156726,0.0055605031249065075,0.005466725789132302,4.196007826946252e-05,0.21957538144348998,0.12102459759615526,0.021089037520021035,249113516821.28256,0.08838122526282931,0.011190349745978753,0.21066349768679338,0.07754787640296247,0.011478565733541243,1200140347901.0176,0.3716342446056117,0.19393186441180066,241542310787.19705,0.15710562351613025,0.05762131384852981
Fixed Cut 50.0%,7895,3947,7893,49.99366607550038,N/A,20.489126205444336,20.489126205444336,0.3602491428272618,0.25628892361081446,0.09663553347901242,0.007017017600538199,0.006877448465731751,9.595474489240914e-05,0.23672964188438078,0.13021526536133257,0.02455106711140303,245995252894.01276,0.08508885784973674,0.010632290436413708,0.2120085614435408,0.07660110606155093,0.011917792884603573,1411486691659.4011,0.3384031028133288,0.15982208718812163,276246990759.03253,0.14891245069374934,0.050609120974074474
Fixed Cut 55.0%,7105,3947,8683,54.99746643020015,N/A,15.52724289894104,15.52724289894104,0.3535581133011706,0.2560614939685011,0.09580922308108235,0.014237925343926407,0.013988008466213647,0.00024776448376908554,0.22624366409614943,0.1276183860172541,0.023095255330862253,253680954276.69376,0.08876583149789949,0.010990519148504461,0.23896468998122056,0.09671984307191661,0.015096340629197423,1641265484228.0286,0.33083253520856926,0.15174795346263423,315824406417.5818,0.152331016371726,0.04949784268934168
Fixed Cut 60.0%,6316,3947,9472,59.994932860400304,N/A,15.594738960266113,15.594738960266113,0.32938233774097214,0.22834937215012105,0.07840931568991387,0.010907989748165862,0.010719327163579408,0.000165401936477031,0.22126655738359213,0.12172792847513055,0.021548731663442285,256060663194.5466,0.08814570637857201,0.01120012681373259,0.220511890087306,0.07773236509734485,0.012656104663538656,1790414747203.376,0.31355590113532256,0.1351748397814216,341079235066.4329,0.1400384334000118,0.04319242009142101
Fixed Cut 65.0%,5526,3947,10262,64.99873321510007,N/A,18.382124662399292,18.382124662399292,0.3168807529351186,0.21086908506095167,0.06928460258993242,0.008109901728857278,0.007984004799860715,0.00010102083107677812,0.22491629329206209,0.12381936502447302,0.02222554354113247,286615897577.64246,0.10035834062881031,0.014010339594458856,0.21802081682603822,0.09018684704502472,0.013065551251159829,1778200048703.9954,0.3053382172563227,0.12849563774933762,344135991047.04584,0.13975930996924063,0.04119711592618302
Fixed Cut 70.0%,4737,3947,11051,69.99619964530022,N/A,19.424113750457764,19.424113750457764,0.3103929307209194,0.20458068358662287,0.06570145606216432,0.011011249045784745,0.01080084055069402,0.00015022152378099644,0.22552671233815427,0.12900763660602113,0.023065284821936437,311298476470.1145,0.10548730344325234,0.01588764430925945,0.2156890658756975,0.08789827296324222,0.012877439117282468,1819396004638.1194,0.3152993894270569,0.13676890132086272,355115746851.4841,0.14217902109614797,0.042408491192547804
Fixed Cut 75.0%,3947,3947,11841,75.0,N/A,15.232648849487305,15.232648849487305,0.32100500894232903,0.21010579677840013,0.0691463149994373,0.007853803617868107,0.007730509650305992,0.00010202135751565132,0.21937717463696904,0.12346909503046243,0.021376035875903702,358277234879.8143,0.12528282252771544,0.022488868625559447,0.22396957095998213,0.09583648040108565,0.014547910682968943,1733582289764.7297,0.30977915699695746,0.1315094867955779,348643254107.53296,0.14536731023082172,0.043195106389493775
Fixed Cut 80.0%,3158,3947,12630,79.99746643020015,N/A,16.985207080841064,16.985207080841064,0.359048316556929,0.27067961213300124,0.10614248579969203,0.01389782797662952,0.013630576280919416,0.000246159124493264,0.23248333942655208,0.12541887787132086,0.02354314447660667,290878587246.22546,0.11385940054372931,0.020665768538648415,0.2134133362114448,0.07376279577195756,0.012756736913850864,1455813066703.097,0.34668694424307395,0.1681050657789636,291115275658.3488,0.15733970114066706,0.0552432267720425
Fixed Cut 85.0%,2369,3947,13419,84.99493286040031,N/A,9.23749828338623,9.23749828338623,0.3763793270351845,0.28195551434422406,0.11604908859609983,0.02197863937042486,0.021567245736050802,0.0008375819782687846,0.2401472940509944,0.13449249679535275,0.025549346537669562,439765236996.0331,0.14903669440297498,0.03090467740256486,0.22677881817299536,0.0847447321562536,0.014097384515348909,1534683193232.6997,0.4450467693720442,0.276190600540938,329074738371.60614,0.18614057546781745,0.07727144659514833
