Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,CO(GT)_MAPE,CO(GT)_MAE,CO(GT)_MSE,NMHC(GT)_MAPE,NMHC(GT)_MAE,NMHC(GT)_MSE,C6H6(GT)_MAPE,C6H6(GT)_MAE,C6H6(GT)_MSE,NOx(GT)_MAPE,NOx(GT)_MAE,NOx(GT)_MSE,NO2(GT)_MAPE,NO2(GT)_MAE,NO2(GT)_MSE,T_MAPE,T_MAE,T_MSE,RH_MAPE,RH_MAE,RH_MSE,AH_MAPE,AH_MAE,AH_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,7485,1872,N/A,N/A,N/A,26.998709201812744,26.998709201812744,36.169069505064606,0.21645541842412053,0.05892158125212382,0.1444496851666923,0.02429767622652519,0.0006607439569809447,1.0001611584156707,0.05607526745407296,0.028567919315213595,0.5046290296576341,0.11996716793401807,0.028667411726732515,0.6439184165864229,0.3412274121340405,0.14859084125162275,164226167209.83868,0.07264545091528836,0.030920955789999035,0.2930455919562455,0.10185736566059711,0.04421290265951578,7.725595885287423,0.05466333216842499,0.02686769205552975,20528270907.039906,0.12339863636463594,0.04592625600096477
Fixed Cut 5.0%,7111,1872,374,4.996659986639947,N/A,46.495630741119385,46.495630741119385,31.66146294097519,0.19628424766050906,0.0527924666944404,0.191219363935112,0.03216473741549401,0.0010503279226030985,0.8614783575135063,0.054424591269014506,0.03031325988401083,0.5118855225926202,0.12158749064839905,0.028379455739563984,0.6615713759368789,0.34938235720633426,0.1529553807558847,160576956306.88467,0.06842799367326195,0.03299939236283496,0.2943989560688563,0.10453383575975095,0.04523251345999646,7.8305716945432255,0.0547027625794931,0.02549381951381794,20072119543.61213,0.12268850202653209,0.04615207704164411
Fixed Cut 10.0%,6737,1872,748,9.993319973279894,N/A,25.03001379966736,25.03001379966736,38.10047079815329,0.23172521844600544,0.06437485231912236,0.09132532225824873,0.015361702650672621,0.0002700683082088062,1.6113090354357658,0.05551954908708945,0.025720460744694335,0.5950203587320749,0.13770164365516618,0.033504292798056765,0.7261789258335178,0.3791328844779951,0.1747157371677399,213662946395.96823,0.07797819276806817,0.029199672005855996,0.2809072538613168,0.094770839651692,0.03670421522095282,5.374016078049312,0.046142759622941856,0.02334164826883444,26707868305.34349,0.12979159879495378,0.04847886835418318
Fixed Cut 15.0%,6363,1872,1122,14.989979959919838,N/A,18.01853585243225,18.01853585243225,27.335217801412416,0.1715855806819715,0.046289549269893364,0.07810478526969063,0.01383610013634909,0.000204068066401965,1.3994824870976563,0.054868067474183865,0.02613418736864565,0.48193448269024014,0.1061517831122067,0.024479808613172366,0.5654395582256242,0.31099713311589183,0.13159075246739302,181544482160.58377,0.08049207248404902,0.03193792702819728,0.2933164572621135,0.09848446451251373,0.03925222728522806,4.724173358512277,0.04543707141438742,0.025865355295364593,22693060274.432625,0.11023153411644399,0.04071923442428703
Fixed Cut 20.0%,5988,1872,1497,20.0,N/A,22.503132104873657,22.503132104873657,40.26365566678334,0.24001382729297668,0.06710896271265755,0.006470202632627922,0.006470202632627922,9.563164423907048e-05,1.725385039060772,0.060615313103291685,0.031748205679789664,0.471471285935135,0.10785895535516582,0.024568502065978465,0.6686580439987538,0.35121087026104025,0.15366649925810927,223917252781.984,0.0875473271453029,0.03622913779506517,0.2897354170743093,0.0979470666237555,0.04441481007613831,1.2767743774001084,0.039294923045702916,0.028296486396731154,27989656603.335728,0.12386981068248286,0.04826602945358861
Fixed Cut 25.0%,5614,1872,1871,24.996659986639948,N/A,34.853936195373535,34.853936195373535,34.15073420825704,0.2091404190904653,0.056458661143822864,0.004030397814016879,0.004030397814016879,2.8382317293257874e-05,0.5969826951149029,0.051488124212159224,0.02505114904260386,0.5042366882570544,0.1184611334976507,0.027817476862584685,0.6515529594526174,0.3452813555911241,0.15067662978497734,223985764994.71927,0.08038314409145321,0.03002335739615994,0.2972339460331156,0.10390738312271261,0.03882769955128114,8.616087595165435,0.0527533169498459,0.02213298835283185,27998220629.942513,0.12068065929617841,0.04387704305644437
Fixed Cut 30.0%,5240,1872,2245,29.993319973279892,N/A,27.997193813323975,27.997193813323975,32.81800414492307,0.20578465863757095,0.05596944970650492,0.00545352422519919,0.00545352422519919,0.00010880649712360717,1.3126154950515974,0.055509082691583174,0.027668044282544553,0.4835738849512133,0.11185718113661931,0.025803771438487978,0.6510333062809933,0.34418791097743917,0.14927445425120492,206640678465.26566,0.08072641517148021,0.03333223721532387,0.3016450240687181,0.10479811281004157,0.042291081837886255,8.14226212050929,0.05441330463795042,0.024835236209002815,25830084813.622536,0.12034127378598541,0.044910385179759885
Fixed Cut 35.0%,4866,1872,2619,34.98997995991984,N/A,18.395826816558838,18.395826816558838,27.444921245233807,0.17563833837549103,0.04861615023076805,0.008233923790601878,0.008233923790601878,0.0001636544462770707,1.5379394775512574,0.05935332471070556,0.030868193475970508,0.5345462070081628,0.095692327360294,0.020361745311431263,0.5699576672380979,0.31200828314912804,0.13177134868874193,242574758398.15054,0.09040424018589326,0.03567190803240669,0.306248961042747,0.10511243681014383,0.05163536647135342,9.490619415582684,0.060303563390139536,0.027952972074974804,30321844804.755375,0.11334330472154955,0.043380167341490486
Fixed Cut 40.0%,4492,1872,2993,39.98663994655979,N/A,12.206571102142334,12.206571102142334,35.18538445487604,0.21936039266388155,0.06075288407431154,0.009341454473960816,0.009341454473960816,0.00013534570852299905,2.213192973802208,0.07050803918933582,0.03725737583460786,0.5639110351609214,0.09719412443789939,0.020830526770116774,0.5820037390146096,0.3180336481708748,0.1360066576957983,228618579542.50296,0.09253131837155322,0.040084974092754064,0.3108684496156036,0.10022114185729233,0.047036589889584514,2.8335032855159255,0.042969157854734076,0.028734071238717265,28577322448.02512,0.11876990962744136,0.04635480316305171
Fixed Cut 45.0%,4117,1872,3368,44.99665998663995,N/A,18.46673011779785,18.46673011779785,35.85204130021643,0.2225041279937243,0.061669309597730176,0.006815208570567277,0.006815208570567277,7.651987817180481e-05,0.9742184356195603,0.05696040544648113,0.026257049001578447,0.491914134312268,0.09242399361916522,0.019324532924684428,0.6393019362565484,0.33924145559994745,0.14615871308034734,112416702860.52168,0.05697816091152682,0.027431763934504246,0.29924508009342515,0.10558571608680183,0.04119043696196685,12.323639680738635,0.06468696139635279,0.024147248896967274,14052087863.888607,0.11814950370307073,0.04328194678449383
