Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,DEWP_MAPE,DEWP_MAE,DEWP_MSE,TEMP_MAPE,TEMP_MAE,TEMP_MSE,PRES_MAPE,PRES_MAE,PRES_MSE,Iws_MAPE,Iws_MAE,Iws_MSE,Is_MAPE,Is_MAE,Is_MSE,Ir_MAPE,Ir_MAE,Ir_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,35059,8765,N/A,N/A,N/A,260.8183469772339,260.8183469772339,3184848253294.4546,0.2752221311366508,0.09914066164817072,26427375037207.19,0.18919801827997507,0.047710081445210065,0.008218724956960842,0.008016641571253407,8.090510252493586e-05,7.8419537838486395,0.03727689128026124,0.003597094016727281,3715222970938.5815,0.0019143276770696382,0.0005077893230630824,51434183830391.23,0.014259326426956839,0.000690028935379899,14126938348639.666,0.08764788939535949,0.025287760078512623
Fixed Cut 5.0%,33307,8765,1752,4.9972902820958955,N/A,133.62007021903992,133.62007021903992,5950877293019.466,0.2772457906773878,0.10119588791181436,28930519197525.703,0.17888883461513316,0.04306900414092427,0.006819641280239731,0.006637343431004882,6.138109888164117e-05,6.444762346965887,0.03320984613861948,0.003492019980646915,15155691561365.955,0.004775953461607689,0.000861583848702725,9019690658701.682,0.005245411165917081,0.0006160550296187492,9842796451769.656,0.08433386324827707,0.024882655335098147
Fixed Cut 10.0%,31554,8765,3505,9.997432898827691,N/A,120.76724100112915,120.76724100112915,8716135574070.228,0.2710566114552568,0.09868478333303973,33724336034976.78,0.1813188471899132,0.04513060275708579,0.008021552351844265,0.007817739203867998,8.341547707319043e-05,6.157205064529004,0.03313516859870995,0.0036837377428736748,6220181559965.264,0.0027957999065593244,0.0008481092817434824,47135742775947.98,0.013364924821973913,0.0006822702973551197,15966065990827.494,0.08491484852937986,0.024852153148195166
Fixed Cut 15.0%,29801,8765,5258,14.997575515559486,N/A,156.85567092895508,156.85567092895508,6464728552450.884,0.2803693788479842,0.1039425967885176,30854412983675.93,0.19568618518547634,0.0512920488194059,0.006575135265428902,0.006429102169294433,6.811957983955013e-05,5.8128591115435535,0.03204990308608208,0.0036625811845408594,3727938732896.2886,0.0022003181076234923,0.0008003952667067436,8940130334238.78,0.005136323028285976,0.0006068704489131295,8331201767211.058,0.08697853507079016,0.026728768681320698
Fixed Cut 20.0%,28048,8765,7011,19.997718132291283,N/A,166.05017614364624,166.05017614364624,2477201387239.181,0.2797018687290862,0.10237059684934964,27120474043647.867,0.19647590946201193,0.05149835609240074,0.007587042587600964,0.007352268439277132,7.463643311079015e-05,6.793548306556448,0.03464420627136113,0.0037081609169627443,6202400663492.607,0.0027972260567262434,0.0008646628118188834,15723392743949.242,0.007008221096989362,0.0007715403508019869,8587244806389.067,0.0879966166759072,0.026547992242407514
Fixed Cut 25.0%,26295,8765,8764,24.997860749023076,N/A,96.94388604164124,96.94388604164124,3294388461585.5503,0.27117282650697433,0.0965114633732325,30704745504804.88,0.1976787471840614,0.05244792070284163,0.008958498448923095,0.008681195331914426,0.0001071191290982831,5.982923326241123,0.032450283771051185,0.0036530377927348648,41949982793385.66,0.010650997585037457,0.0009288871892951842,7330551734109.274,0.0052460536452618115,0.0007947877476374143,13879944748981.672,0.08764668400404908,0.025740535989139973
Fixed Cut 30.0%,24542,8765,10517,29.998003365754872,N/A,104.39924716949463,104.39924716949463,9288754201908.791,0.27621259913538715,0.10301636837487,33356508665692.324,0.1898988420062032,0.048868520523734735,0.0067291194641387105,0.006579033673692576,6.944369599628713e-05,5.163806623345426,0.036063453477003786,0.005131636818520775,10670783938653.541,0.0037836973401350303,0.0008552769348473312,25043736120626.598,0.008875061437992928,0.0007132259147302211,13059963821147.508,0.08690211451173507,0.02644241204378317
Fixed Cut 35.0%,22789,8765,12270,34.99814598248667,N/A,85.19371175765991,85.19371175765991,6408395189706.864,0.274204095859891,0.09876104064101893,32211500569008.586,0.1937642340534481,0.05078729277274216,0.005004375735259259,0.004882213228660917,3.557254941289325e-05,5.690289714199548,0.03818086041141179,0.005297417840695786,23474153591447.184,0.006660697664073099,0.0009261079873783268,68066550640612.89,0.018196996448905663,0.0009089689337175867,21693433331796.645,0.08931484961106412,0.026119400120827554
Fixed Cut 40.0%,21036,8765,14023,39.99828859921846,N/A,144.90483617782593,144.90483617782593,6423826848750.749,0.27022288609052986,0.09672270612596784,29882140620252.703,0.19320082924359558,0.050157463638944834,0.0040911660836987695,0.003976315500086198,2.5527215863569215e-05,5.502848889124888,0.037107803098842596,0.005211325281189,17055394442978.715,0.005255622870714294,0.0009404014934601309,13006265852916.104,0.006411714039506447,0.00075462298941958,11061271294150.408,0.08602919514054513,0.02563534112414083
Fixed Cut 45.0%,19283,8765,15776,44.998431215950255,N/A,122.30612111091614,122.30612111091614,2401700987176.2744,0.2675501575927409,0.09378171502332909,27520027132219.508,0.19280731720475844,0.04978919847673465,0.006703621446899582,0.006556995267539478,7.264060764314737e-05,5.2792340764336325,0.03609797932401568,0.0048631101840820685,16412624702912.75,0.005079093089329701,0.0009083648530140004,7381158161222.592,0.00516238734024005,0.0007368102017682947,8952585163922.525,0.08554232163643666,0.02502530655776199
Fixed Cut 50.0%,17530,8765,17529,49.998573832682055,N/A,49.16665816307068,49.16665816307068,4119698098721.5664,0.26592079579401434,0.09244702243070971,26674903369518.29,0.20651307868042018,0.05760716051543794,0.006419009045515255,0.006223104835372277,5.814916439439788e-05,7.0118583032263455,0.04237566612987871,0.005567486205997641,17645331504327.004,0.005391484580194283,0.0009501057501799532,23697437346449.13,0.008722710428488501,0.0007945854085086299,12022895053170.287,0.0891911400747275,0.02623741824587142
