Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,DEWP_MAPE,DEWP_MAE,DEWP_MSE,TEMP_MAPE,TEMP_MAE,TEMP_MSE,PRES_MAPE,PRES_MAE,PRES_MSE,Iws_MAPE,Iws_MAE,Iws_MSE,Is_MAPE,Is_MAE,Is_MSE,Ir_MAPE,Ir_MAE,Ir_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,35059,8765,N/A,N/A,N/A,163.85294103622437,163.85294103622437,4724049759778.776,0.27921650247067925,0.10238770889088052,27596139426544.42,0.19157424910842596,0.04884110845602693,0.008916836182359077,0.008650861768334846,9.831025466990847e-05,6.196129340899621,0.03285105098496927,0.003600269024007,30545490925496.45,0.007783720659427677,0.0004900882145520698,26320968932543.54,0.008803703453835014,0.0006016396768037668,14864441507394.682,0.08814668140761038,0.026003187419490075
Fixed Cut 5.0%,33307,8765,1752,4.9972902820958955,N/A,73.17346692085266,73.17346692085266,9465707073653.752,0.2798197943909262,0.10540089142763331,32318854345961.69,0.1880050344292503,0.04768544474285988,0.004054661210867519,0.003950098591258659,2.4590147267073844e-05,3.748796177703158,0.028007661883324063,0.003674178115793361,15155895083047.29,0.004764211953307759,0.0008548378904181808,43227639866958.48,0.012493853881330909,0.0006660829584131729,16694682728270.592,0.08617344252156563,0.02638433754706411
Fixed Cut 10.0%,31554,8765,3505,9.997432898827691,N/A,143.24319291114807,143.24319291114807,5485976700051.827,0.2701163006281003,0.09613345996801352,27543206164508.9,0.18457048425806902,0.04575548203666318,0.00626153994391415,0.00609961853284949,5.412545674663699e-05,5.017180453566798,0.029385674664460737,0.003343964015270505,4785643904221.453,0.002448020593568829,0.0008129596731500918,24349024691165.65,0.00839130319200753,0.000619847801885531,10360641909991.93,0.08350190031150813,0.02445330649195492
Fixed Cut 15.0%,29801,8765,5258,14.997575515559486,N/A,173.4983470439911,173.4983470439911,2931056845259.0615,0.2787280011016958,0.10154988229702369,26783527134597.625,0.20009521156277313,0.05367672286159826,0.008544169510346663,0.00835168962842026,0.0001053167549359971,7.511108862124823,0.03630066273613974,0.0036331979216946628,4496475078293.079,0.0023628583726636706,0.000792493266265248,32743175046770.02,0.010213423676586808,0.0006160435313003952,11159039017487.67,0.0893419745130452,0.026728942772136378
Fixed Cut 20.0%,28048,8765,7011,19.997718132291283,N/A,88.97366404533386,88.97366404533386,4560194308188.871,0.27493246400309157,0.09942710432448906,28442961117065.535,0.2000128408836376,0.05330069498648078,0.006239128011217337,0.006078966420842164,5.240710388421665e-05,6.180443428589695,0.032876329012526184,0.0036389552144553746,7193876324993.67,0.002980627320990984,0.0008122030213947076,47934954761808.81,0.013847015765764638,0.0007819271257402334,14688664418676.959,0.08845470723447456,0.02633554862940735
Fixed Cut 25.0%,26295,8765,8764,24.997860749023076,N/A,119.97404599189758,119.97404599189758,3616639695807.952,0.27470368391967104,0.09933379571455148,27664267965213.234,0.19605216244772725,0.05138171355471574,0.010558731197978496,0.010213224919946515,0.00014598924638655473,7.3243931191638545,0.035499987626444136,0.0035536035940263466,38677210914252.91,0.009899761360227981,0.0008220618705539429,40611598614344.69,0.012256499820544747,0.0008206295980737432,18428286198270.8,0.089770886682426,0.026009632263051252
Fixed Cut 30.0%,24542,8765,10517,29.998003365754872,N/A,160.78020095825195,160.78020095825195,7153732578194.158,0.2709794372657367,0.0980768867734624,32260285287963.92,0.19457484314929338,0.05118390511952551,0.008526186450364584,0.008280084710714005,9.280000890431753e-05,6.760200161632709,0.03990391902714074,0.0047063589025295545,30357604822144.85,0.008133253438120842,0.0008843605824645032,32293939914883.44,0.01050596367654976,0.0007815577805924276,17010927100531.963,0.08872958354459186,0.025954311527913176
Fixed Cut 35.0%,22789,8765,12270,34.99814598248667,N/A,123.7414379119873,123.7414379119873,8090332073847.289,0.27187442438246195,0.0975200792059435,33857985460166.984,0.19800137115577254,0.05299980727795415,0.008163051095194109,0.007907532479993212,8.63096767224102e-05,6.458596444676105,0.039511568732546014,0.004845552337508542,6787926260966.807,0.0029484082316274278,0.0008818640115175483,24365472863585.83,0.008858998600975424,0.000798334477648644,12183619443095.334,0.0881837172638954,0.026188657831215833
Fixed Cut 40.0%,21036,8765,14023,39.99828859921846,N/A,134.74287176132202,134.74287176132202,3343581695358.1274,0.2773631590575986,0.10071223343037491,27668881948647.043,0.19620042367678844,0.0513759399349803,0.005116123067838003,0.004988631356698406,3.67906077478772e-05,6.360664603924706,0.0389205548891756,0.004772055309208278,3218411673498.5156,0.002203938355682924,0.0009408113571855826,5883425280547.224,0.004911084024337267,0.0007700046196597607,6685716766342.659,0.0874312985600456,0.02643463920985944
Fixed Cut 45.0%,19283,8765,15776,44.998431215950255,N/A,73.13938808441162,73.13938808441162,1251231058532.898,0.27034546784413677,0.0956562489563437,24824895944564.375,0.20393738312217558,0.055739737133573664,0.005113386271760134,0.004973384365999131,3.6646266645498936e-05,7.574654277263244,0.04328061680106833,0.004954071731483531,9031090873833.438,0.0034860578651435526,0.0009342493999230189,13607636642522.088,0.006624423880040727,0.0007960826926548,8119142419909.9375,0.08877455564642667,0.02635283936343746
